RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,208,5404,137966,St Martin in the Fields High School for Girls,ACC,0,0,1,20,34,5,31,84%,0%,81%,6%,6%,0%,3%,30,87%,23,37,8,1,0,0%,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,3,88%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,208,5405,100642,London Nautical School,FD,0,0,3,6,17,-5,52,60%,0%,56%,12%,10%,0%,4%,21,76%,2,19,-15,3,14,57%,22,47,-3,3,17,41%,-1,22,-24,3,62%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,208,6905,134815,The Elms Academy,AC,0,0,2,15,27,2,44,86%,2%,82%,11%,11%,0%,2%,44,86%,15,26,3,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,82%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,208,8027,130413,Lambeth College,General Further Education College,0,0,3,1,9,-7,91,41%,0%,38%,0%,0%,0%,2%,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,90,40%,1,11,-9,3,42%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
LA,208,,,,,,,NA,8,NA,NA,998,78%,1%,76%,24%,22%,3%,1%,796,85%,8,NA,NA,NA,57,56%,14,NA,NA,NA,145,48%,6,NA,NA,NA,80%,1%,78%,29%,27%,5%,1%
1,209,4204,100741,Sydenham School,CY,1,0,2,11,18,3,110,89%,1%,87%,31%,31%,2%,1%,110,89%,11,18,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,209,4289,100745,Forest Hill School,CY,1,0,3,-6,2,-14,92,67%,2%,65%,22%,24%,1%,0%,92,67%,-6,2,-14,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,61%,0%,61%,6%,6%,SUPP,0%
1,209,4646,100750,Prendergast School,VA,0,0,3,4,11,-3,135,86%,1%,85%,40%,37%,4%,0%,135,86%,4,10,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
3,209,4950,132942,Sydenham and Forest Hill Sixth Form,,NA,0,3,3,8,-2,202,79%,1%,77%,27%,28%,1%,SP,202,79%,3,8,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,76%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,209,6905,135073,Haberdashers' Hatcham College,AC,0,0,1,17,23,10,157,92%,1%,90%,29%,27%,1%,1%,157,92%,17,23,10,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,209,6906,135070,Haberdashers' Knights Academy,AC,0,0,1,23,35,10,46,85%,0%,85%,9%,9%,0%,0%,31,90%,20,34,5,1,15,73%,30,54,5,2,0,0%,NA,NA,NA,NA,81%,0%,81%,5%,5%,0%,0%
1,209,8600,130416,Christ The King Sixth Form College,Sixth Form College,0,0,1,23,25,20,786,85%,1%,83%,5%,4%,SP,1%,750,85%,22,24,19,1,36,89%,49,64,33,1,0,0%,NA,NA,NA,NA,87%,1%,85%,3%,3%,SUPP,1%
LA,209,,,,,,,NA,17,NA,NA,1326,85%,1%,84%,15%,14%,1%,1%,1275,85%,16,NA,NA,NA,51,84%,44,NA,NA,NA,0,0%,NA,NA,NA,NA,85%,1%,83%,18%,17%,1%,1%
1,210,4002,140221,South Bank University Academy,AC,0,0,1,26,46,5,17,82%,12%,71%,12%,6%,0%,0%,6,83%,10,41,-21,3,11,82%,35,63,6,2,0,0%,NA,NA,NA,NA,83%,0%,83%,0%,SUPP,0%,0%
1,210,4005,145313,Bacon's College,AC,0,0,3,6,16,-4,67,79%,0%,79%,36%,33%,0%,0%,52,79%,0,10,-10,3,15,80%,30,54,5,2,0,0%,NA,NA,NA,NA,70%,0%,70%,30%,22%,0%,0%
1,210,4265,136309,Kingsdale Foundation School,ACC,0,0,3,2,9,-5,115,85%,1%,83%,43%,41%,1%,1%,115,85%,2,9,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,79%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
