RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,308,4706,102053,St Anne's Catholic High School for Girls,VA,0,0,,2,12,72,83%,0%,82%,21%,8%,0%,1%,68,82%,10,3,4,SUPP,SUPP,SUPP,0,NA,NA,NA,100%,0%,SUPP,23%,SUPP,0%,SUPP
1,308,5400,102055,The Latymer School,VA,0,0,,3,4,220,95%,1%,94%,80%,69%,7%,0%,220,95%,4,3,0,NA,NA,NA,0,NA,NA,NA,88%,SUPP,SUPP,67%,50%,SUPP,0%
1,308,5403,102058,St Ignatius College,VA,0,0,,2,10,97,80%,0%,80%,38%,23%,0%,0%,97,80%,10,2,0,NA,NA,NA,0,NA,NA,NA,95%,0%,95%,42%,32%,0%,0%
1,308,5404,137094,Enfield Grammar School,ACC,0,0,,2,11,93,82%,2%,80%,28%,18%,1%,0%,91,81%,10,2,2,SUPP,SUPP,SUPP,0,NA,NA,NA,71%,SUPP,SUPP,29%,SUPP,SUPP,0%
1,308,6905,134311,Oasis Academy Enfield,AC,0,0,,3,6,53,66%,4%,62%,15%,4%,0%,0%,52,65%,5,3,1,SUPP,SUPP,SUPP,0,NA,NA,NA,75%,SUPP,SUPP,14%,SUPP,0%,0%
1,308,6906,135958,Oasis Academy Hadley,AC,0,0,,1,25,95,82%,0%,82%,12%,5%,0%,0%,87,83%,24,1,8,75%,41,2,0,NA,NA,NA,85%,0%,85%,SUPP,SUPP,0%,0%
LA,308,,,,,,,,NA,12,,78%,1%,77%,27%,19%,1%,1%,1750,81%,13,NA,153,49%,10,NA,3,0%,SUPP,NA,78%,1%,77%,31%,22%,1%,1%
1,309,4029,102153,Hornsey School for Girls,CY,0,0,,2,17,100,82%,0%,81%,26%,14%,0%,1%,100,82%,17,2,0,NA,NA,NA,0,NA,NA,NA,80%,0%,SUPP,27%,16%,0%,SUPP
1,309,4030,102154,Highgate Wood Secondary School,CY,0,0,,3,1,123,74%,0%,74%,44%,33%,3%,0%,123,74%,1,3,0,NA,NA,NA,0,NA,NA,NA,68%,0%,68%,29%,24%,0%,0%
1,309,4032,102156,Fortismere School,FD,0,0,,3,5,213,87%,1%,86%,62%,46%,4%,SP,213,87%,5,3,0,NA,NA,NA,0,NA,NA,NA,91%,SUPP,SUPP,61%,52%,0%,SUPP
1,309,4036,137531,Alexandra Park School,ACC,0,0,,2,12,177,86%,0%,86%,44%,32%,2%,0%,177,86%,12,2,0,NA,NA,NA,0,NA,NA,NA,86%,0%,86%,38%,26%,0%,0%
1,309,4703,139362,St Thomas More Catholic School,ACC,0,0,,2,13,82,68%,0%,68%,9%,2%,0%,0%,58,74%,12,3,24,54%,16,3,0,NA,NA,NA,74%,0%,74%,8%,SUPP,0%,0%
1,309,4704,139363,Haringey Sixth Form College,ACC1619,0,0,,1,31,142,82%,1%,77%,8%,6%,0%,4%,129,81%,29,1,8,75%,35,2,5,SUPP,SUPP,SUPP,78%,SUPP,74%,5%,3%,0%,SUPP
1,309,6905,133386,Greig City Academy,AC,0,0,,1,26,117,82%,0%,80%,18%,14%,0%,2%,107,82%,24,1,10,80%,46,1,0,NA,NA,NA,84%,0%,SUPP,15%,11%,0%,SUPP
LA,309,,,,,,,,NA,13,,74%,1%,71%,28%,19%,1%,3%,1054,79%,13,NA,148,49%,13,NA,36,31%,6,NA,76%,SUPP,72%,36%,26%,2%,SUPP
1,931,4000,138499,Wykham Park,AC,0,0,,3,-1,84,67%,1%,65%,14%,8%,0%,0%,84,67%,-1,3,0,NA,NA,NA,0,NA,NA,NA,33%,SUPP,SUPP,SUPP,0%,0%,0%
1,931,4006,140886,Space Studio Banbury,SS,0,0,,3,-12,16,56%,0%,56%,6%,6%,0%,0%,16,56%,-12,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,0%,SUPP,SUPP,SUPP,0%,0%
1,931,4007,142218,The Warriner School,ACC,0,0,,3,-5,50,68%,0%,68%,28%,18%,2%,0%,50,68%,-5,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%
1,931,4010,137936,Chipping Norton School,ACC,0,0,,3,2,79,78%,1%,73%,34%,27%,4%,4%,79,78%,2,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4011,142024,The Bicester School,AC,0,0,,3,-7,47,57%,0%,57%,13%,6%,0%,0%,47,57%,-7,3,0,NA,NA,NA,0,NA,NA,NA,50%,0%,50%,SUPP,0%,0%,0%
1,931,4032,141069,The Cooper School,ACC,0,0,,3,0,102,74%,3%,69%,25%,15%,1%,2%,102,74%,0,3,0,NA,NA,NA,0,NA,NA,NA,75%,SUPP,63%,0%,0%,SUPP,SUPP
1,931,4040,138289,Burford School,ACC,0,0,,3,8,117,85%,0%,82%,44%,33%,3%,3%,117,85%,8,3,0,NA,NA,NA,0,NA,NA,NA,44%,0%,44%,SUPP,SUPP,0%,0%
1,931,4041,123236,Carterton Community College,CY,0,0,,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,0,SUPP,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4050,138210,The Henry Box School,ACC,0,0,,3,-5,101,72%,1%,69%,36%,33%,6%,2%,101,72%,-5,3,0,NA,NA,NA,0,NA,NA,NA,67%,SUPP,SUPP,44%,33%,0%,SUPP
1,931,4052,144008,Wood Green School,ACC,0,0,,3,-8,105,70%,0%,69%,28%,17%,1%,1%,105,70%,-8,3,0,NA,NA,NA,0,NA,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4054,137919,Bartholomew School,ACC,0,0,,3,1,87,76%,3%,70%,44%,29%,2%,2%,87,76%,1,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4060,138897,Gosford Hill School,ACC,0,0,,3,-4,53,62%,4%,55%,21%,13%,0%,4%,53,62%,-4,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP
1,931,4077,140875,Wheatley Park School,ACC,0,0,,3,-2,89,70%,0%,67%,29%,21%,0%,2%,89,70%,-2,3,0,NA,NA,NA,0,NA,NA,NA,63%,0%,SUPP,SUPP,SUPP,0%,SUPP
1,931,4116,137970,The Cherwell School,ACC,0,0,,3,4,260,86%,1%,84%,57%,43%,5%,1%,260,86%,4,3,0,NA,NA,NA,0,NA,NA,NA,81%,SUPP,SUPP,44%,31%,0%,SUPP
1,931,4120,139146,Cheney School,ACC,0,0,,3,1,100,80%,0%,78%,50%,32%,4%,2%,100,80%,1,3,0,NA,NA,NA,0,NA,NA,NA,71%,0%,SUPP,36%,21%,0%,SUPP
1,931,4125,143890,Larkmead School,ACC,1,0,,3,-2,65,71%,0%,69%,22%,17%,2%,2%,65,71%,-2,3,0,NA,NA,NA,0,NA,NA,NA,83%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4126,140580,John Mason School,ACC,1,0,,2,15,49,88%,0%,86%,27%,22%,0%,2%,49,88%,15,2,0,NA,NA,NA,0,NA,NA,NA,SUPP,0%,SUPP,SUPP,SUPP,0%,SUPP
1,931,4127,123257,Fitzharrys School,CY,1,0,,3,-10,46,63%,2%,61%,15%,11%,2%,0%,46,63%,-10,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,931,4128,142104,Matthew Arnold School,ACC,0,0,,3,-5,101,68%,0%,66%,36%,30%,2%,2%,101,68%,-5,3,0,NA,NA,NA,0,NA,NA,NA,58%,0%,SUPP,33%,SUPP,SUPP,SUPP
1,931,4129,138762,St Birinus School,ACC,1,0,,3,2,65,72%,3%,69%,28%,22%,0%,0%,65,72%,2,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,0%,0%
1,931,4139,138490,Didcot Girls' School,ACC,1,0,,3,-5,83,72%,0%,72%,37%,25%,1%,0%,83,72%,-5,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%
1,931,4140,137357,Wallingford School,ACC,0,0,,3,-9,100,66%,0%,65%,32%,21%,2%,1%,94,67%,-10,4,6,50%,4,3,0,NA,NA,NA,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP
