RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,206,6906,135587,City of London Academy Islington,0,AC,113,41,108,3,-0.07,-0.31,0.18,-0.08,-0.33,0.17,60.2%,31.0%,3.78,50.4%,29.2%,15.9%,53.1%,3
1,206,4001,143659,"City of London Academy, Highgate Hill",0,F,67,47,60,0,0.23,-0.09,0.56,0.23,-0.1,0.56,56.7%,47.8%,3.87,13.4%,9.0%,7.5%,52.2%,3
1,206,4324,100457,Elizabeth Garrett Anderson School,0,CY,176,48.2,165,2,0.35,0.15,0.55,0.34,0.14,0.54,70.5%,42.0%,3.87,4.0%,1.1%,1.1%,66.5%,2
1,206,4307,100455,Highbury Fields School,0,CY,139,57.3,132,0,0.83,0.61,1.05,0.83,0.61,1.06,83.5%,64.7%,5.29,62.6%,51.1%,41.0%,77.7%,1
1,206,6162,100461,Italia Conti Academy of Theatre Arts,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,206,6001,141250,North Bridge House Senior Canonbury,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,206,7030,100467,Richard Cloudesley School,0,CYS,6,NE,NE,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NE,NE,NE,NE,NE,NE,NE
1,206,4651,100459,St Aloysius RC College,0,VA,168,50,163,1,0.3,0.1,0.49,0.29,0.09,0.49,69.6%,45.8%,4.5,49.4%,23.2%,14.9%,66.7%,2
1,206,6905,134314,St Mary Magdalene Academy,0,AC,164,53.3,155,1,0.44,0.24,0.64,0.44,0.23,0.64,79.3%,58.5%,4.92,45.7%,37.8%,31.1%,72.0%,2
2,206,7000,139418,St Mary Magdalene Academy: the Courtyard,0,FS,8,5.6,8,0,-2.69,-3.58,-1.8,-2.69,-3.6,-1.79,12.5%,0.0%,0.29,0.0%,0.0%,0.0%,0.0%,5
2,206,7146,100469,Samuel Rhodes MLD School,0,CYS,13,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
4,206,,,,,,1465,45.7,1381,23,0.02,-0.04,0.09,0.01,-0.06,0.08,63.3%,42.0%,4.06,39.5%,24.0%,17.3%,57.7%,3
1,207,4801,100503,All Saints Catholic College,0,VA,70,49.4,58,0,0.29,-0.04,0.62,0.29,-0.05,0.63,70.0%,44.3%,4.25,37.1%,27.1%,15.7%,67.1%,3
1,207,6348,100537,Ashbourne Independent School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,5402,141931,The Cardinal Vaughan Memorial RC School,0,ACC,113,62.7,109,2,0.52,0.28,0.76,0.51,0.27,0.76,93.8%,74.3%,5.58,38.1%,36.3%,33.6%,91.2%,1
1,207,6905,135531,Chelsea Academy,0,AC,168,53.7,151,2,0.25,0.05,0.46,0.25,0.04,0.46,79.8%,61.9%,4.58,22.0%,18.5%,11.9%,73.8%,2
1,207,6362,100539,Collingham,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6007,140225,Epic Learning Independent School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,207,6006,136151,Frederick Hugh House,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,4320,140134,Holland Park School,0,ACC,227,61.1,200,1,0.72,0.54,0.89,0.71,0.53,0.9,78.4%,66.1%,5.86,85.9%,66.1%,53.7%,77.5%,1
1,207,4000,140212,Kensington Aldridge Academy,0,AC,164,46.4,158,1,0.01,-0.19,0.21,0,-0.2,0.21,65.2%,34.8%,4.13,39.0%,26.2%,12.8%,57.9%,3
1,207,6015,140356,The Laurels School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6399,132788,The Lloyd Williamson School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6391,100547,Lycee Francais Charles de Gaulle,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6363,100540,Mander Portman Woodward School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6202,100521,More House School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,207,7164,141957,Parkwood Hall Co-Operative Academy,0,ACCS,14,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,207,6026,100511,Queen's Gate School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,4681,100502,Saint Thomas More Language College,0,VA,111,48.3,106,0,0.17,-0.08,0.41,0.17,-0.08,0.41,73.0%,48.6%,4.14,40.5%,14.4%,9.0%,67.6%,3
2,207,6408,135616,Snowflake School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,6009,140603,Westminster Tutors,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,207,,,,,,866,53.6,791,6,0.33,0.24,0.41,0.32,0.23,0.41,75.6%,55.4%,4.81,47.3%,34.6%,25.6%,71.6%,2
1,208,4006,145857,Archbishop Tenison's School,0,AC
1,208,5403,100640,Archbishop Tenison's School,1,VA,63,42.3,47,1,-0.06,-0.43,0.31,-0.07,-0.44,0.31,58.7%,31.7%,3.55,52.4%,25.4%,11.1%,54.0%,3
1,208,6906,135389,Ark Evelyn Grace Academy,0,AC,152,35,129,1,-0.48,-0.7,-0.25,-0.48,-0.71,-0.26,39.5%,17.8%,3.13,43.4%,13.2%,5.3%,36.2%,4
