"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TELIG","KS1APS","PFSM6CLA1A","PNOTFSM6CLA1A","PSENELSE","PEALGRP2","SCHOOLS_CONVERTERS","SCHOOLS_SPONSORLED","SCHOOLS_FREE","SCHOOLS3","SCHOOLS4P","READPROG_DESCR","READPROGSCORE_P_ADJUSTED_WGTAVG","READPROG_LOWER_ADJ","READPROG_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER_ADJ","READPROG_FSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER_ADJ","READPROG_NOTFSM6CLA1A_UPPER_ADJ","WRITPROG_DESCR","WRITPROGSCORE_P_ADJUSTED_WGTAVG","WRITPROG_LOWER_ADJ","WRITPROG_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER_ADJ","WRITPROG_FSM6CLA1A_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER_ADJ","WRITPROG_NOTFSM6CLA1A_UPPER_ADJ","MATPROG_DESCR","MATPROGSCORE_P_ADJUSTED_WGTAVG","MATPROG_LOWER_ADJ","MATPROG_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER_ADJ","MATPROG_FSM6CLA1A_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER_ADJ","MATPROG_NOTFSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_WGTAVG","READPROG_LOWER","READPROG_UPPER","READPROGSCORE_P_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER","READPROG_FSM6CLA1A_UPPER","READPROGSCORE_P_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER","READPROG_NOTFSM6CLA1A_UPPER","WRITPROGSCORE_P_WGTAVG","WRITPROG_LOWER","WRITPROG_UPPER","WRITPROGSCORE_P_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER","WRITPROG_FSM6CLA1A_UPPER","WRITPROGSCORE_P_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER","WRITPROG_NOTFSM6CLA1A_UPPER","MATPROGSCORE_P_WGTAVG","MATPROG_LOWER","MATPROG_UPPER","MATPROGSCORE_P_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER","MATPROG_FSM6CLA1A_UPPER","MATPROGSCORE_P_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER","MATPROG_NOTFSM6CLA1A_UPPER","SCHOOL-URNS"
"TR00858",3185,"Multi-academy trust","OADBY, WIGSTON AND LEICESTERSHIRE SCHOOLS ACADEMY TRUST","East Midlands and Humber",3,3,121,15.7,23.1,76.9,0.8,11.6,3,0,0,1,2,3,-0.6,-1.7,0.5,"-2.9","-5.2","-0.6","0","-1.2","1.3",3,-0.7,-1.8,0.3,"-4.7","-6.8","-2.5","0.5","-0.7","1.6","3","-0.6","-1.6","0.3","-2.3","-4.4","-0.3","-0.1","-1.2","1",-0.6,-1.7,0.5,"-3","-5.3","-0.7","0","-1.2","1.3",-0.9,-2,0.1,"-5.3","-7.5","-3.1","0.4","-0.8","1.6","-0.7","-1.7","0.3","-2.7","-4.8","-0.5","-0.1","-1.2","1","139855, 139859, 142261"
"TR01553",4076,"Multi-academy trust","OASIS COMMUNITY LEARNING","National Sponsor Unit",28,28,1266,14.6,61.2,38.8,2.4,32.3,5,23,0,1,27,2,0.9,0.6,1.2,"0.8","0.4","1.2","1","0.4","1.6",2,1.9,1.6,2.3,"1.9","1.4","2.3","2","1.5","2.5","2","1.7","1.4","2","1.4","1","1.8","2.1","1.6","2.6",0.9,0.5,1.2,"0.8","0.4","1.2","1","0.4","1.5",1.9,1.6,2.2,"1.9","1.4","2.3","1.9","1.4","2.5","1.7","1.3","2","1.3","0.9","1.7","2.1","1.6","2.6","135958, 135968, 137430, 137479, 138237, 138278, 138409, 138687, 138710, 139024, 139025, 139056, 139125, 139128, 139129, 139214, 139242, 139281, 140022, 140040, 140041, 140052, 140161, 140218, 140219, 140394, 140409, 140674"
"TR03182",5708,"Multi-academy trust","OCEAN LEARNING TRUST","South West",3,3,149,16.2,39.6,60.4,3.4,20.1,3,0,0,3,0,3,0.3,-0.7,1.3,"-0.4","-1.9","1.1","0.8","-0.5","2.1",3,-0.8,-1.7,0.2,"-0.9","-2.4","0.6","-0.6","-1.9","0.6","3","-0.4","-1.3","0.5","-0.5","-1.9","0.9","-0.3","-1.5","0.8",0.3,-0.7,1.3,"-0.4","-2","1.2","0.8","-0.6","2.1",-0.8,-1.8,0.1,"-0.9","-2.4","0.6","-0.8","-2","0.5","-0.4","-1.4","0.5","-0.5","-1.9","0.9","-0.4","-1.6","0.9","142100, 142101, 142103"
"SP00560",4105,"School sponsor","Ormiston Trust","National Sponsor Unit",3,3,137,15.6,44.5,55.5,1.5,13.9,1,2,0,0,3,2,2.2,1.2,3.2,"2.7","1.2","4.3","1.7","0.3","3.1",2,1.4,0.4,2.4,"1.1","-0.3","2.6","1.7","0.3","3","2","2.8","1.9","3.8","3.2","1.8","4.5","2.5","1.2","3.8",2.2,1.2,3.3,"2.7","1.2","4.3","1.7","0.3","3.1",1.4,0.4,2.4,"1.1","-0.4","2.6","1.7","0.3","3.1","2.8","1.8","3.8","3.2","1.8","4.6","2.5","1.2","3.8","138846, 140016, 140374"
"TR02034",4662,"Multi-academy trust","OSBORNE CO-OPERATIVE ACADEMY TRUST","East of England and North East London",3,3,272,15.8,35.3,64.7,4.8,18.4,1,2,0,0,3,4,-1.3,-2,-0.5,"-1.6","-2.9","-0.3","-1","-2","-0.1",3,0.5,-0.2,1.2,"-0.1","-1.2","1.1","0.8","-0.1","1.7","3","0","-0.7","0.7","-0.4","-1.6","0.7","0.2","-0.6","1.1",-1.3,-2,-0.5,"-1.7","-3","-0.4","-1","-2","-0.1",0.5,-0.2,1.2,"-0.1","-1.3","1.1","0.8","-0.1","1.7","0","-0.7","0.7","-0.4","-1.6","0.7","0.2","-0.6","1.1","138065, 138581, 139566"
"TR03210",15788,"Multi-academy trust","OUR LADY OF LIGHT CATHOLIC ACADEMY TRUST","North",3,3,105,17.1,27.6,72.4,0,3.8,3,0,0,3,0,2,2.1,1,3.3,"2.2","0","4.4","2.1","0.8","3.5",3,0.8,-0.3,2,"3","0.8","5.1","0","-1.3","1.3","3","0.8","-0.3","1.8","1.9","-0.1","3.9","0.4","-0.9","1.6",2.1,1,3.3,"2.2","-0.1","4.4","2.1","0.8","3.5",0.8,-0.3,2,"3","0.8","5.1","0","-1.3","1.3","0.8","-0.3","1.8","1.9","-0.2","3.9","0.4","-0.9","1.6","142279, 142280, 142282"
"TR01962",4581,"Multi-academy trust","OUR LADY OF LOURDES CATHOLIC MULTI-ACADEMY TRUST","East Midlands and Humber",4,4,150,16.4,20.7,79.3,0.7,30,4,0,0,0,4,2,2.5,1.5,3.5,"0.9","-1.2","3.1","3","1.8","4.1",3,0.7,-0.3,1.6,"0.1","-2","2.1","0.8","-0.3","1.9","2","2.3","1.4","3.2","0.2","-1.7","2.2","2.9","1.8","3.9",2.5,1.5,3.5,"0.9","-1.2","3.1","3","1.8","4.1",0.7,-0.3,1.7,"0.1","-2","2.2","0.8","-0.3","1.9","2.3","1.4","3.2","0.2","-1.7","2.2","2.9","1.8","3.9","137425, 137428, 137439, 139490"
"TR01585",4119,"Multi-academy trust","OUTWOOD GRANGE ACADEMIES TRUST","National Sponsor Unit",3,3,131,16.6,17.6,82.4,1.5,6.1,2,1,0,0,3,3,0.3,-0.7,1.3,"-0.8","-3.3","1.7","0.5","-0.6","1.7",1,2.7,1.7,3.6,"2.4","0","4.8","2.7","1.7","3.8","2","1.6","0.7","2.6","1.9","-0.4","4.2","1.6","0.6","2.6",0.3,-0.7,1.4,"-0.8","-3.3","1.8","0.5","-0.6","1.7",2.7,1.7,3.7,"2.4","-0.1","4.8","2.7","1.6","3.8","1.6","0.7","2.6","1.9","-0.4","4.2","1.6","0.6","2.7","139080, 139108, 140085"
"TR00763",4131,"Multi-academy trust","PARADIGM TRUST","East of England and North East London",3,3,185,16.7,62.2,37.8,3.2,71.9,2,0,1,0,3,3,-0.1,-1,0.8,"-0.3","-1.4","0.8","SUPPM","SUPPM","SUPPM",1,2.9,2,3.8,"2.4","1.4","3.5","SUPPM","SUPPM","SUPPM","2","2.1","1.3","3","1.8","0.7","2.8","SUPPM","SUPPM","SUPPM",-0.1,-1.1,0.8,"-0.3","-1.5","0.8","SUPPM","SUPPM","SUPPM",2.9,2,3.8,"2.4","1.3","3.5","SUPPM","SUPPM","SUPPM","2.1","1.3","3","1.8","0.7","2.8","SUPPM","SUPPM","SUPPM","138276, 140064, 140096"
"TR01619",4161,"Multi-academy trust","PAX CHRISTI CATHOLIC ACADEMY TRUST","East Midlands and Humber",4,4,145,16.2,12.4,87.6,0.7,24.1,4,0,0,0,4,3,-0.5,-1.5,0.5,"0.8","-2","3.6","-0.7","-1.7","0.4",3,0,-1,0.9,"0","-2.6","2.7","0","-1","1","4","-1.1","-1.9","-0.2","-1.6","-4.1","1","-1","-1.9","0",-0.5,-1.5,0.5,"0.8","-2","3.6","-0.7","-1.7","0.4",0,-1,0.9,"0","-2.7","2.7","0","-1.1","1","-1.1","-2","-0.2","-1.6","-4.1","1","-1","-2","-0.1","138811, 138812, 138813, 138814"
"TR01632",5479,"Multi-academy trust","PENINSULA LEARNING TRUST","South West",5,5,183,16.1,25.7,74.3,1.1,1.6,5,0,0,5,0,3,0.6,-0.3,1.5,"-0.1","-1.8","1.6","0.8","-0.2","1.9",3,0.8,0,1.7,"0.2","-1.5","1.8","1","0.1","2","3","0.2","-0.6","1","0.4","-1.2","2","0.2","-0.8","1.1",0.6,-0.3,1.5,"-0.1","-1.8","1.7","0.8","-0.2","1.9",0.8,0,1.7,"0.2","-1.5","1.8","1","0","2","0.2","-0.6","1","0.4","-1.2","2","0.1","-0.8","1.1","137402, 141709, 141710, 142239, 142241"
"TR02653",4192,"Multi-academy trust","PETERBOROUGH DIOCESE EDUCATION TRUST","North West London and South Central",11,10,264,16.3,25.8,74.2,0.8,18.6,9,2,0,7,4,3,-0.2,-1,0.5,"0.5","-0.9","2","-0.5","-1.3","0.4",3,0,-0.7,0.7,"-0.3","-1.7","1.1","0.1","-0.8","0.9","4","-1.3","-2","-0.7","-1.2","-2.5","0.1","-1.4","-2.2","-0.6",-0.2,-1,0.5,"0.5","-0.9","2","-0.5","-1.4","0.4",-0.1,-0.8,0.7,"-0.4","-1.8","1","0.1","-0.8","0.9","-1.3","-2","-0.7","-1.2","-2.6","0.1","-1.4","-2.2","-0.6","140820, 141044, 141048, 141068, 141234, 141461, 141462, 141723, 141724, 141725, 142270"
"TR01651",4208,"Multi-academy trust","PIONEER ACADEMIES COMMUNITY TRUST (PACT)","East Midlands and Humber",3,3,105,15.9,37.1,62.9,1,4.8,3,0,0,0,3,3,-0.4,-1.5,0.8,"0.3","-1.6","2.1","-0.8","-2.2","0.7",3,-0.2,-1.3,0.9,"-0.7","-2.5","1.1","0.2","-1.2","1.6","3","-0.3","-1.4","0.7","-0.6","-2.3","1.1","-0.2","-1.5","1.1",-0.4,-1.5,0.8,"0.3","-1.7","2.2","-0.8","-2.2","0.7",-0.2,-1.3,0.9,"-0.8","-2.6","1","0.2","-1.3","1.6","-0.3","-1.4","0.7","-0.6","-2.4","1.1","-0.2","-1.5","1.2","139083, 139084, 139085"
"TR01656",4214,"Multi-academy trust","PLYMOUTH CAST","South West",32,32,861,16,23,77,2.8,11.6,29,3,0,0,32,3,0.2,-0.2,0.6,"-0.9","-1.8","-0.1","0.5","0","1",3,0.3,-0.1,0.7,"-0.3","-1.1","0.5","0.4","0","0.9","3","-0.2","-0.6","0.1","-1.7","-2.5","-0.9","0.2","-0.2","0.6",0.1,-0.3,0.6,"-1","-1.9","-0.1","0.5","0","0.9",0.3,-0.1,0.7,"-0.3","-1.1","0.5","0.4","0","0.9","-0.3","-0.7","0.1","-1.7","-2.5","-1","0.2","-0.3","0.6","139394, 140676, 140695, 140705, 140726, 140730, 140739, 140743, 140745, 140749, 140755, 140756, 140757, 140761, 140762, 140763, 140764, 140765, 140766, 140767, 140768, 140770, 140772, 140773, 140774, 140775, 140776, 140777, 140778, 140780, 140784, 140785"
"TR01662",4223,"Multi-academy trust","PONTEFRACT ACADEMIES TRUST","Lancashire and West Yorkshire",6,6,239,15.2,38.5,61.5,6.7,3.8,4,2,0,0,6,4,-2.5,-3.2,-1.7,"-2.4","-3.7","-1.2","-2.5","-3.4","-1.5",4,-1.2,-2,-0.5,"-1.1","-2.3","0.1","-1.3","-2.2","-0.4","4","-1.8","-2.5","-1.1","-1.7","-2.9","-0.6","-1.9","-2.7","-1",-2.5,-3.3,-1.7,"-2.5","-3.7","-1.2","-2.5","-3.5","-1.5",-1.2,-2,-0.5,"-1.1","-2.3","0.1","-1.3","-2.3","-0.4","-1.8","-2.6","-1.1","-1.8","-2.9","-0.7","-1.9","-2.8","-1","139499, 139502, 139503, 139504, 140023, 140337"
"TR03137",5532,"Multi-academy trust","POPE JOHN XXIII CATHOLIC MULTI ACADEMY COMPANY","West Midlands",3,3,107,15.5,49.5,50.5,0,27.1,3,0,0,3,0,2,1.9,0.8,3.1,"0.6","-1.1","2.2","3.5","1.8","5.2",3,1,-0.1,2.1,"-0.5","-2.1","1","2.8","1.2","4.4","2","1.6","0.6","2.7","0.5","-1","2","3","1.4","4.5",1.9,0.7,3.1,"0.6","-1.1","2.2","3.5","1.8","5.2",1,-0.1,2.1,"-0.5","-2.1","1.1","2.8","1.1","4.4","1.6","0.5","2.6","0.4","-1.1","1.9","3","1.4","4.5","141769, 141789, 141827"
"SP00016",4229,"School sponsor","Portsmouth and Winchester Diocesan Academies Trust","South East and South London",3,3,114,16.6,28.1,71.9,0.9,3.5,1,2,0,0,3,4,-1.7,-2.8,-0.6,"-3.8","-5.8","-1.7","-0.8","-2.1","0.5",4,-2.3,-3.3,-1.2,"-3.5","-5.5","-1.6","-1.8","-3","-0.5","4","-1.7","-2.7","-0.7","-2.7","-4.6","-0.8","-1.2","-2.4","-0.1",-1.7,-2.8,-0.6,"-3.8","-5.9","-1.7","-0.9","-2.2","0.5",-2.6,-3.7,-1.5,"-4.3","-6.3","-2.3","-1.9","-3.2","-0.7","-1.7","-2.7","-0.6","-2.7","-4.6","-0.8","-1.2","-2.4","-0.1","138509, 139644, 140760"
"TR01667",4232,"Multi-academy trust","PORTSWOOD PRIMARY ACADEMY TRUST","South East and South London",3,3,197,15.9,33.5,66.5,1.5,23.9,1,2,0,2,1,3,-0.7,-1.6,0.1,"-3.3","-4.7","-1.8","0.5","-0.5","1.6",4,-1,-1.8,-0.1,"-2.6","-4","-1.2","-0.1","-1.1","0.9","2","1.2","0.4","1.9","-0.4","-1.7","1","1.9","1","2.9",-0.8,-1.7,0,"-3.5","-5","-2","0.5","-0.6","1.6",-1.1,-1.9,-0.3,"-3","-4.4","-1.6","-0.1","-1.2","0.9","1.1","0.3","1.8","-0.6","-1.9","0.8","1.8","0.9","2.8","138626, 141692, 142076"
"TR01961",4580,"Multi-academy trust","PRIME7 MAT","North West London and South Central",3,3,93,16.2,12.9,87.1,1.1,2.2,3,0,0,0,3,5,-3,-4.2,-1.7,"-0.7","-4.1","2.6","-3.3","-4.7","-2",5,-2.9,-4.1,-1.7,"-5","-8.3","-1.8","-2.6","-3.8","-1.3","4","-2.4","-3.6","-1.3","-3.6","-6.7","-0.6","-2.2","-3.5","-1",-3.2,-4.4,-1.9,"-0.7","-4.2","2.7","-3.6","-4.9","-2.2",-2.9,-4.1,-1.7,"-5","-8.3","-1.7","-2.6","-3.9","-1.3","-2.4","-3.6","-1.3","-3.6","-6.8","-0.5","-2.2","-3.5","-1","139847, 139857, 139866"
"SP00427",4318,"School sponsor","REAch2 Academy Trust","National Sponsor Unit",40,40,1998,15.7,42.5,57.5,2.4,28.8,5,34,1,11,29,4,-0.4,-0.6,-0.1,"-0.7","-1.1","-0.3","-0.1","-0.5","0.2",3,-0.1,-0.3,0.2,"-0.6","-1","-0.2","0.3","0","0.7","3","-0.1","-0.3","0.2","-0.4","-0.8","-0.1","0.2","-0.1","0.6",-0.4,-0.7,-0.1,"-0.7","-1.1","-0.3","-0.2","-0.5","0.2",-0.1,-0.4,0.2,"-0.6","-1","-0.2","0.3","-0.1","0.6","-0.1","-0.4","0.2","-0.5","-0.9","-0.1","0.2","-0.1","0.5","136413, 137441, 138275, 138389, 138914, 138915, 139000, 139016, 139094, 139259, 139380, 139396, 139397, 139406, 139602, 139653, 139674, 139685, 139806, 140167, 140198, 140381, 140402, 140489, 140490, 140611, 140687, 140794, 141047, 141113, 141119, 141194, 141348, 141869, 141983, 141984, 141985, 142014, 142016, 142017"
"TR00718",4362,"Multi-academy trust","RIGHTFORSUCCESS TRUST","East of England and North East London",3,3,106,14.9,36.8,63.2,0.9,8.5,0,3,0,1,2,1,3.1,2,4.3,"1.9","0","3.7","3.9","2.4","5.4",3,-0.1,-1.2,1,"-1.7","-3.5","0.1","0.9","-0.5","2.3","2","1.6","0.5","2.6","0.4","-1.3","2.1","2.2","0.9","3.6",3.1,2,4.3,"1.9","0","3.8","3.9","2.4","5.4",-0.1,-1.2,1.1,"-1.7","-3.5","0.1","0.9","-0.5","2.4","1.5","0.4","2.6","0.3","-1.4","2","2.2","0.9","3.6","140819, 140990, 141661"
"TR01244",4382,"Multi-academy trust","ROBUS MULTI ACADEMY TRUST","East of England and North East London",4,4,146,16.6,21.9,78.1,2.7,2.7,3,1,0,2,2,3,-0.1,-1.1,0.9,"-0.9","-3","1.2","0.1","-1","1.2",2,1.1,0.2,2.1,"0.8","-1.2","2.7","1.2","0.2","2.3","3","0.5","-0.4","1.4","-0.6","-2.5","1.3","0.8","-0.3","1.8",-0.1,-1.1,0.9,"-0.9","-3","1.2","0.1","-1","1.2",1.1,0.1,2,"0.8","-1.3","2.8","1.1","0.1","2.2","0.4","-0.5","1.3","-0.6","-2.5","1.3","0.7","-0.4","1.7","137220, 141182, 141625, 141626"
"TR02976",4441,"Multi-academy trust","SAINT NICHOLAS OWEN CATHOLIC MULTI ACADEMY COMPANY","West Midlands",5,5,147,16.9,21.8,78.2,1.4,14.3,5,0,0,5,0,3,0.3,-0.7,1.2,"-2.5","-4.6","-0.3","1","-0.1","2.1",3,-0.5,-1.4,0.4,"-1.3","-3.3","0.7","-0.3","-1.3","0.8","4","-0.9","-1.8","-0.1","-2.1","-4","-0.1","-0.6","-1.6","0.4",0.3,-0.7,1.2,"-2.5","-4.6","-0.3","1","-0.1","2.1",-0.5,-1.4,0.5,"-1.3","-3.4","0.7","-0.3","-1.3","0.8","-1","-1.9","-0.1","-2.1","-4","-0.1","-0.7","-1.7","0.3","141413, 141444, 141477, 141484, 141489"
"TR02857",5702,"Multi-academy trust","SATURN EDUCATION TRUST","South West",3,3,71,15.7,39.4,60.6,4.2,1.4,3,0,0,3,0,4,-2.2,-3.7,-0.8,"-0.7","-3","1.6","-3.2","-5.1","-1.4",3,0.1,-1.3,1.5,"1.8","-0.4","4","-1","-2.7","0.8","4","-1.4","-2.7","-0.1","-0.1","-2.2","2","-2.2","-3.9","-0.6",-2.3,-3.8,-0.9,"-0.7","-3","1.7","-3.4","-5.2","-1.5",0.1,-1.3,1.5,"1.8","-0.5","4","-1","-2.8","0.8","-1.6","-2.9","-0.3","-0.3","-2.4","1.8","-2.5","-4.2","-0.8","142145, 142165, 142167"
"TR01880",4477,"Multi-academy trust","SCHOOLSWORKS ACADEMY TRUST","South East and South London",5,5,329,15.9,26.4,73.6,2.1,10,5,0,0,1,4,3,-0.3,-1,0.3,"-1.6","-2.8","-0.3","0.1","-0.7","0.9",3,-0.1,-0.7,0.5,"-0.8","-2","0.4","0.2","-0.5","0.9","3","-0.4","-1","0.2","-1","-2.1","0.2","-0.2","-0.8","0.5",-0.4,-1,0.3,"-1.6","-2.9","-0.3","0.1","-0.7","0.9",-0.1,-0.7,0.5,"-0.8","-2.1","0.4","0.2","-0.5","0.9","-0.4","-1","0.2","-1","-2.1","0.2","-0.2","-0.9","0.5","137370, 137980, 139478, 140089, 141600"
"TR01955",4567,"Multi-academy trust","SOUTH DARTMOOR ACADEMY","South West",5,3,107,16.6,22.4,77.6,0,1.9,5,0,0,0,5,3,-0.1,-1.2,1.1,"-0.9","-3.3","1.5","0.1","-1.2","1.4",3,-0.2,-1.3,0.9,"-1.2","-3.5","1.1","0.2","-1.1","1.4","4","-2.5","-3.5","-1.4","-3.6","-5.8","-1.5","-2.1","-3.3","-0.9",-0.1,-1.3,1.1,"-0.9","-3.3","1.6","0.1","-1.2","1.5",-0.2,-1.3,1,"-1.2","-3.5","1.1","0.1","-1.1","1.4","-2.5","-3.6","-1.4","-3.6","-5.9","-1.4","-2.2","-3.4","-0.9","136561, 136562, 136563, 136919, 141285"
"TR02448",4569,"Multi-academy trust","SOUTH EAST ESSEX ACADEMY TRUST","East of England and North East London",3,3,152,15.7,36.8,63.2,3.3,9.9,1,2,0,0,3,2,2.1,1.1,3,"2.5","0.9","4.1","1.9","0.6","3.1",2,2,1.1,2.9,"2.7","1.2","4.2","1.6","0.4","2.8","2","1.7","0.8","2.6","1","-0.5","2.5","2.1","1","3.2",2.1,1.1,3.1,"2.5","0.8","4.1","1.9","0.6","3.1",2,1.1,2.9,"2.7","1.1","4.2","1.6","0.4","2.8","1.7","0.8","2.6","1","-0.5","2.5","2.1","1","3.2","140672, 140747, 141170"
"TR02459",5303,"Multi-academy trust","SOUTH ESSEX ACADEMY TRUST","East of England and North East London",3,3,105,16.2,38.1,61.9,1.9,2.9,1,2,0,2,1,3,-1.2,-2.3,0,"-1.5","-3.4","0.4","-1","-2.5","0.5",4,-1.5,-2.6,-0.4,"-2.2","-4","-0.4","-1","-2.4","0.4","4","-2.7","-3.7","-1.6","-3.1","-4.8","-1.4","-2.4","-3.8","-1.1",-1.3,-2.4,-0.1,"-1.6","-3.5","0.3","-1.1","-2.6","0.4",-1.5,-2.6,-0.4,"-2.2","-4","-0.4","-1","-2.4","0.4","-2.7","-3.8","-1.7","-3.2","-4.9","-1.4","-2.5","-3.8","-1.1","137030, 141355, 142000"
"TR00796",3107,"Multi-academy trust","SPIRAL PARTNERSHIP TRUST","North West London and South Central",3,3,185,17,28.6,71.4,1.1,18.9,2,1,0,0,3,3,-0.3,-1.2,0.5,"-1.5","-3.1","0.1","0.2","-0.9","1.2",4,-1,-1.8,-0.1,"-1.2","-2.7","0.4","-0.9","-1.9","0.1","4","-1","-1.8","-0.2","-2.1","-3.6","-0.7","-0.4","-1.4","0.5",-0.4,-1.3,0.5,"-1.6","-3.3","0","0.2","-0.9","1.2",-1,-1.8,-0.1,"-1.2","-2.7","0.4","-0.9","-1.9","0.1","-1","-1.8","-0.1","-2.1","-3.6","-0.7","-0.4","-1.4","0.5","138205, 139159, 139550"
"TR01993",4616,"Multi-academy trust","SS SIMON AND JUDE CHURCH OF ENGLAND MULTI ACADEMY TRUST","Lancashire and West Yorkshire",3,3,114,15,46.5,53.5,6.1,36,1,2,0,1,2,3,-0.2,-1.3,0.9,"0.3","-1.5","2","-0.5","-2","1",3,0.9,-0.1,2,"1.2","-0.4","2.8","0.7","-0.8","2.1","3","0.5","-0.6","1.5","0.4","-1.2","1.9","0.6","-0.8","2",-0.2,-1.4,0.9,"0.3","-1.5","2","-0.6","-2.2","0.9",0.9,-0.2,2,"1.2","-0.4","2.8","0.7","-0.8","2.2","0.5","-0.6","1.5","0.4","-1.2","2","0.6","-0.9","2","138957, 141205, 141689"
"TR02163",4806,"Multi-academy trust","ST BARNABAS CATHOLIC ACADEMY TRUST","East Midlands and Humber",3,3,122,16.5,20.5,79.5,0,35.2,3,0,0,0,3,2,2.8,1.7,3.9,"3.3","0.9","5.7","2.7","1.5","3.9",2,1.5,0.4,2.5,"0.4","-1.9","2.7","1.7","0.6","2.9","2","2.3","1.3","3.2","0.9","-1.3","3.1","2.6","1.5","3.7",2.8,1.7,3.9,"3.3","0.9","5.7","2.7","1.5","3.9",1.5,0.4,2.5,"0.4","-1.9","2.8","1.7","0.6","2.9","2.3","1.3","3.3","0.9","-1.3","3.1","2.6","1.5","3.7","138338, 138339, 138340"
"SP00042",2283,"School sponsor","St Bart's Multi Academy Trust","West Midlands",4,4,214,14.9,44.4,55.6,2.3,34.1,1,3,0,0,4,4,-1.5,-2.3,-0.7,"-2.1","-3.4","-0.9","-0.9","-2","0.1",3,-0.1,-0.8,0.7,"-0.3","-1.5","0.9","0.1","-0.9","1.2","3","-0.1","-0.9","0.6","-1.3","-2.4","-0.2","0.9","-0.1","1.8",-1.6,-2.4,-0.8,"-2.3","-3.6","-1.1","-1","-2.1","0.1",-0.2,-0.9,0.6,"-0.5","-1.7","0.7","0.1","-0.9","1.2","-0.2","-1","0.5","-1.5","-2.7","-0.4","0.9","-0.1","1.9","136549, 139910, 140175, 140562"
"TR03166",5620,"Multi-academy trust","ST CATHERINE OF SIENA MULTI ACADEMY COMPANY","West Midlands",4,4,125,16.3,36,64,1.6,30.4,4,0,0,4,0,2,1.9,0.9,3,"1.6","-0.1","3.4","2.1","0.8","3.4",2,1.9,0.9,2.9,"1.5","-0.2","3.2","2.1","0.8","3.3","2","1.2","0.2","2.1","-0.1","-1.7","1.5","1.9","0.7","3.1",1.9,0.9,3,"1.6","-0.2","3.4","2.1","0.8","3.4",1.9,0.8,2.9,"1.5","-0.3","3.2","2.1","0.8","3.4","1.2","0.2","2.2","-0.1","-1.7","1.6","1.9","0.7","3.1","141922, 141924, 141926, 141929"
"TR02027",4652,"Multi-academy trust","ST CHAD'S ACADEMIES TRUST","West Midlands",5,5,164,15.5,42.1,57.9,0,16.5,1,4,0,2,3,3,-0.6,-1.5,0.4,"-1.3","-2.7","0.1","-0.1","-1.3","1.2",4,-1.8,-2.7,-0.9,"-3.2","-4.5","-1.8","-0.9","-2.1","0.3","3","0.1","-0.7","1","-1.3","-2.6","0","1.1","0","2.2",-0.6,-1.5,0.3,"-1.3","-2.8","0.1","-0.1","-1.3","1.2",-1.9,-2.8,-1,"-3.4","-4.8","-2","-1","-2.2","0.2","0.1","-0.7","1","-1.3","-2.6","0","1.1","0","2.2","139435, 140299, 140856, 140858, 141410"
"TR02662",4668,"Multi-academy trust","ST CUTHBERT'S ROMAN CATHOLIC ACADEMY TRUST","East Midlands and Humber",4,4,165,15.5,33.9,66.1,4.8,23.6,3,1,0,1,3,3,0.2,-0.8,1.1,"-0.6","-2.1","1","0.5","-0.6","1.7",4,-1.1,-2,-0.2,"-2","-3.5","-0.5","-0.6","-1.7","0.5","3","-0.7","-1.5","0.2","-1.2","-2.7","0.2","-0.4","-1.5","0.6",0.1,-0.9,1,"-0.9","-2.5","0.7","0.5","-0.7","1.7",-1.1,-2,-0.2,"-2","-3.6","-0.5","-0.6","-1.7","0.5","-0.7","-1.6","0.2","-1.3","-2.8","0.1","-0.4","-1.5","0.7","140848, 140903, 140905, 141649"
