"TIME_PERIOD","TIME_IDENTIFIER","TRUST_GROUP_TYPE","TRUST_NAME","TRUST_UID","TRUST_ID","TRUST_COMPANIES_HOUSE_NUMBER","TRUST_UKPRN","TRUST_LEADREGION","INSTITUTIONS_MATPTINC","NUMINST_MATPTINC","NUMINST_FSM6CLA1A_MATPTINC","NUMINST_CONVERTER_MATPTINC","NUMINST_SPONSOR_MATPTINC","NUMINST_FREE_MATPTINC","NUMINST_3_MATPTINC","NUMINST_4PLUS_MATPTINC","TELIG_MATPTINC","PFSM6CLA1A_MATPTINC","PNOTFSM6CLA1A_MATPTINC","PEALGRP2_MATPTINC","PSEN_MATPTINC","PRWM_EXP_WGTAVG","PRWM_EXP_WGTAVG_FSM6CLA1A","PRWM_EXP_WGTAVG_NOTFSM6CLA1A","INSTITUTIONS_INMAT","NUMINST_INMAT","NUMINST_CONVERTER_INMAT","NUMINST_SPONSOR_INMAT","NUMINST_FREE_INMAT","TELIG_INMAT","PFSM6CLA1A_INMAT","PNOTFSM6CLA1A_INMAT"
202324,"AcademicYear","Multi-academy trust","ST THOMAS AQUINAS CATHOLIC MULTI ACADEMY TRUST",2354,"TR00235",8090890,10059818,"East Midlands","138080;138081;138090;138115;138185;138294;138295;138296;138297;138299;142724;146105;146133;146147;146158;146180;146224",17,17,17,0,0,0,17,578,"20%","80%","31%","19%","67%","39%","74%","138080;138081;138090;138115;138185;138294;138295;138296;138297;138299;139611;142724;146105;146133;146147;146158;146180;146224;149144",19,19,0,0,628,"19%","81%"
202324,"AcademicYear","Multi-academy trust","BLESSED PETER SNOW CATHOLIC ACADEMY TRUST",2356,"TR02763",9068195,10060818,"Yorkshire and the Humber","141479;141480;148480;148484;148657;148658;148659",7,7,7,0,0,5,2,226,"SUPPMAT","SUPPMAT","26%","20%","50%","SUPPMAT","SUPPMAT","141479;141480;148479;148480;148481;148482;148483;148484;148485;148657;148658;148659;148849;148863",14,14,0,0,496,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","VOYAGE EDUCATION PARTNERSHIP",2376,"TR00253",8158309,10059969,"East Midlands","138751;138752;139191;139266;139597;140498;144491",7,7,4,2,1,0,7,310,"34%","66%","50%","23%","60%","46%","67%","138751;138752;139191;139266;139597;140498;144491;149501",8,5,2,1,340,"35%","65%"
202324,"AcademicYear","Multi-academy trust","BOURNE EDUCATION TRUST",2386,"TR00263",7768726,10059305,"South East","139479;139890;139951;140509;140860;142084;144387;145796;145797;147257;148385",11,11,7,4,0,1,10,594,"24%","76%","30%","20%","68%","49%","73%","139479;139890;139951;140509;140860;142084;144387;145796;145797;147257;148385;149286",12,8,4,0,652,"24%","76%"
202324,"AcademicYear","Multi-academy trust","BRADFORD DIOCESAN ACADEMIES TRUST",2408,"TR00278",8258994,10060130,"Yorkshire and the Humber","138916;139201;141098;142824;142946;143847;145072;145180;145220;145225;146049;146512;146536",13,13,6,7,0,0,13,519,"35%","65%","30%","18%","59%","46%","66%","138916;139201;140204;141098;142824;142946;143847;145072;145180;145220;145225;146049;146512;146536;149161",15,7,7,1,632,"33%","67%"
202324,"AcademicYear","Multi-academy trust","BRIDGE MULTI-ACADEMY TRUST",2430,"TR00294",7736425,10059260,"South West","136957;137366;140020;142038;142496;142953;142954;142955;142956;142959;144570;145518;145519;145561",14,11,11,3,0,0,14,268,"27%","73%","1%","21%","63%","44%","69%","136957;137366;140020;142038;142496;142953;142954;142955;142956;142959;144570;145518;145519;145561",14,11,3,0,268,"27%","73%"
202324,"AcademicYear","Multi-academy trust","BRIDGWATER & TAUNTON COLLEGE TRUST",2434,"TR00296",8098956,10059829,"South West","138375;139717;146243",3,3,0,3,0,0,3,183,"SUPPMAT","SUPPMAT","11%","31%","48%","SUPPMAT","SUPPMAT","138375;139717;146243",3,0,3,0,183,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","BRIGHT FUTURES EDUCATIONAL TRUST",2437,"TR00298",7695771,10046414,"North West","138654;138784;138785;138977;140877;141867;144649",7,7,2,5,0,4,3,374,"SUPPMAT","SUPPMAT","46%","21%","65%","SUPPMAT","SUPPMAT","138654;138784;138785;138977;140877;141867;144649",7,2,5,0,374,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","THE BROOKE WESTON TRUST",2471,"TR00327",2400784,10058154,"East Midlands","138672;138761;139466;140120;143025",5,5,3,2,0,0,5,286,"SUPPMAT","SUPPMAT","30%","18%","58%","SUPPMAT","SUPPMAT","138672;138761;139466;140120;143025",5,3,2,0,286,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","BMAT EDUCATION",2497,"TR00353",7843166,10059426,"East of England","139398;139399;140019;140024;142771",5,5,0,4,1,0,5,236,"37%","63%","18%","15%","56%","47%","60%","139398;139399;140019;140024;142771",5,0,4,1,236,"37%","63%"
