RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_HTECH
1,936,4622,125278,St Bede's School,VA,0,0,3,8,15,0,134,87%,3%,84%,33%,0%,134,87%,8,14,1,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,78%,0%,78%,0%,0%
1,936,4623,125279,Royal Alexandra and Albert School,VA,0,0,3,9,18,0,76,83%,1%,80%,30%,1%,76,83%,9,18,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,SUPP,SUPP,SUPP,SUPP
1,936,4763,138491,The Bishop Wand Church of England School,ACC,0,0,3,-3,6,-12,79,73%,6%,67%,22%,0%,79,73%,-3,5,-11,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5400,139193,Guildford County School,ACC,0,0,3,-8,0,-15,114,70%,1%,68%,36%,2%,113,71%,-8,0,-15,3,0,0%,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,0%
1,936,5401,136828,Collingwood College,ACC,0,0,3,-4,3,-11,114,67%,4%,61%,15%,3%,114,67%,-4,3,-11,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,43%,0%,43%,7%,0%
1,936,5402,143369,"St John the Baptist Catholic Comprehensive School, Woking",ACC,0,0,3,4,10,-2,145,88%,3%,84%,43%,1%,145,88%,4,10,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,63%,SUPP,50%,13%,SUPP
1,936,5403,139151,Gordon's School,ACC,0,0,3,1,8,-6,137,85%,1%,84%,56%,0%,137,85%,1,7,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,75%,0%,75%,33%,0%
1,936,5404,136534,Glyn School,ACC,0,0,3,1,6,-4,230,78%,3%,74%,31%,1%,230,78%,1,6,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,71%,0%,71%,12%,0%
1,936,5405,137595,Epsom and Ewell High School,ACC,0,0,3,8,18,-2,58,79%,0%,79%,21%,0%,58,79%,8,18,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5406,137735,The Beacon School,ACC,0,0,3,-9,0,-18,70,57%,1%,56%,6%,0%,70,57%,-9,0,-18,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,63%,SUPP,SUPP,SUPP,0%
1,936,5407,137736,Rosebery School,ACC,0,0,3,8,15,0,120,93%,1%,92%,43%,0%,120,93%,8,15,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5409,142314,Heathside School,ACC,0,0,3,8,16,0,103,93%,2%,90%,62%,1%,103,93%,8,15,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,80%,SUPP,60%,40%,SUPP
1,936,5411,149290,St Paul's Catholic College,ACC,0,0,3,3,11,-5,107,79%,3%,76%,21%,0%,107,79%,3,10,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5412,143367,"Salesian School, Chertsey",ACC,0,0,3,3,9,-3,168,86%,1%,85%,49%,1%,168,86%,3,9,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,93%,SUPP,SUPP,SUPP,SUPP
1,936,5413,137003,Fullbrook School,ACC,0,0,3,-1,6,-8,123,72%,3%,68%,20%,1%,122,73%,-1,6,-8,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,60%,30%,SUPP
1,936,5415,125315,All Hallows Catholic School,VA,0,0,3,1,9,-7,99,82%,4%,78%,35%,0%,99,82%,1,8,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,50%,0%,50%,25%,0%
1,936,5416,137855,Hinchley Wood School,ACC,0,0,3,2,9,-5,138,87%,4%,81%,52%,1%,138,87%,2,8,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5417,137906,Blenheim High School,ACC,0,0,3,-7,1,-15,86,66%,1%,65%,27%,0%,86,66%,-7,1,-15,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,78%,SUPP,SUPP,SUPP,0%
1,936,8001,130822,North East Surrey College of Technology,General Further Education College,0,0,4,-11,-6,-15,334,35%,SP,24%,2%,11%,7,100%,32,61,2,1,71,31%,-16,-4,-27,4,256,35%,-11,-4,-17,4,34%,SUPP,22%,1%,SUPP
1,936,8005,130824,East Surrey College,General Further Education College,0,0,3,-4,0,-8,380,47%,3%,40%,4%,4%,91,48%,-10,-1,-18,4,3,SUPP,SUPP,SUPP,SUPP,3,286,46%,-2,3,-7,3,49%,1%,42%,2%,6%
1,936,8007,130825,Brooklands College,General Further Education College,0,0,4,-15,-9,-20,269,32%,1%,19%,1%,13%,7,14%,-43,-13,-72,5,0,0%,NA,NA,NA,NA,262,33%,-14,-8,-19,4,34%,2%,19%,0%,13%
1,936,8600,145004,Godalming College,ACC1619,0,0,3,-3,0,-5,833,74%,SP,73%,36%,1%,792,75%,-3,0,-5,3,19,74%,19,41,-3,3,22,36%,-13,7,-33,3,56%,0%,56%,8%,0%
1,936,8601,145005,Reigate College,ACC1619,0,0,3,-2,0,-4,1111,72%,3%,69%,25%,1%,1088,73%,-2,0,-4,3,10,50%,5,35,-25,3,13,46%,-4,22,-30,3,60%,1%,58%,18%,0%
1,936,8602,145006,Esher Sixth Form College,ACC1619,0,0,3,3,5,0,998,80%,1%,78%,31%,1%,940,81%,3,5,0,3,40,63%,15,30,0,3,18,56%,9,31,-13,3,75%,0%,72%,13%,3%
1,936,8603,145007,Woking College,ACC1619,0,0,3,-1,2,-4,526,67%,2%,63%,14%,1%,416,71%,-3,0,-6,3,11,82%,40,69,10,1,99,46%,2,11,-7,3,51%,0%,51%,8%,0%
LA,936,,,,,,,NA,-1,NA,NA,7612,72%,2%,68%,28%,2%,6488,77%,0,NA,NA,NA,164,50%,3,NA,NA,NA,960,39%,-7,NA,NA,NA,73%,2%,70%,29%,2%
1,938,4001,140105,Chichester High School,ACC,0,0,2,13,23,2,61,84%,0%,82%,21%,2%,50,84%,8,19,-3,3,0,0%,NA,NA,NA,NA,11,82%,36,65,6,1,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4003,134042,Oriel High School,CY,0,0,3,3,11,-5,87,75%,5%,68%,13%,2%,87,75%,3,11,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,71%,14%,57%,43%,0%
1,938,4005,137782,The Regis School,AC,0,0,5,-20,-10,-29,76,54%,0%,54%,14%,0%,76,54%,-20,-10,-29,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,44%,0%,44%,11%,0%
1,938,4025,126068,"Weald School, The",CY,0,0,4,-12,-4,-19,139,65%,1%,65%,33%,0%,139,65%,-12,-5,-18,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,50%,SUPP,SUPP,SUPP,0%
1,938,4029,137263,Hazelwick School,ACC,0,0,3,1,7,-5,158,78%,3%,72%,20%,3%,156,79%,1,7,-5,3,2,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,71%,10%,52%,10%,10%
1,938,4030,126071,Ifield Community College,CY,0,0,4,-13,-2,-23,59,51%,0%,51%,12%,0%,59,51%,-13,-2,-23,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,0%,88%,13%,0%
1,938,4044,138620,Thomas Bennett Community College,ACC,0,0,3,7,21,-7,34,68%,3%,65%,9%,0%,21,67%,-4,13,-21,3,13,69%,25,51,-1,3,0,0%,NA,NA,NA,NA,67%,SUPP,SUPP,SUPP,0%
1,938,4059,126080,Felpham Community College,CY,0,0,3,-5,5,-15,65,68%,0%,65%,11%,3%,62,68%,-6,4,-16,3,3,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,86%,0%,86%,14%,0%
1,938,4060,126081,The Angmering School,CY,0,0,5,-24,-11,-36,46,52%,2%,50%,15%,0%,46,52%,-24,-12,-35,5,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4106,126088,Imberhorne School,CY,0,0,4,-11,-4,-17,147,64%,2%,62%,24%,0%,147,64%,-11,-4,-17,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,0%,83%,17%,0%
1,938,4107,126089,Sackville School,CY,0,0,4,-12,-4,-19,125,61%,2%,58%,18%,1%,122,61%,-13,-5,-20,4,3,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,56%,0%,SUPP,SUPP,SUPP
1,938,4501,148221,Steyning Grammar School,ACC,0,0,3,-3,3,-9,183,73%,2%,68%,24%,2%,180,74%,-3,2,-8,3,0,0%,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4602,126095,"St Wilfrid's Catholic Comprehensive School, Crawley",VA,0,0,3,0,8,-8,96,73%,2%,68%,19%,3%,96,73%,0,8,-8,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,60%,0%,60%,10%,0%
1,938,4604,140472,"Bishop Luffa School, Chichester",ACC,0,0,3,-6,1,-13,132,80%,0%,79%,45%,1%,132,80%,-6,0,-12,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4606,126098,"Holy Trinity CofE Secondary School, Crawley",VA,0,0,4,-11,-1,-20,73,60%,1%,59%,19%,0%,73,60%,-11,-1,-20,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,13%,SUPP,SUPP,SUPP,0%
1,938,4610,148753,St Paul's Catholic College,ACC,0,0,3,-2,5,-9,118,75%,5%,69%,25%,1%,118,75%,-2,5,-9,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,SUPP,67%,17%,SUPP
1,938,4800,144243,St Philip Howard Catholic School,ACC,0,0,3,2,10,-6,97,81%,2%,79%,32%,0%,97,81%,2,10,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,43%,0%,43%,0%,0%
1,938,6911,135744,The Sir Robert Woodard Academy,AC,0,0,4,-17,-4,-29,47,55%,2%,53%,11%,0%,46,57%,-16,-4,-27,4,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,6912,135745,The Littlehampton Academy,AC,0,0,3,4,16,-8,42,76%,0%,76%,19%,0%,42,76%,4,16,-8,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,6913,135760,Midhurst Rother College,AC,0,0,3,0,10,-10,58,76%,0%,74%,19%,2%,58,76%,0,10,-10,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,6914,135962,Shoreham Academy,AC,0,0,3,-6,1,-13,126,69%,0%,69%,16%,0%,110,76%,-3,4,-10,3,3,SUPP,SUPP,SUPP,SUPP,3,13,8%,-35,-8,-61,5,50%,0%,50%,8%,0%
1,938,8004,130843,Chichester College Group,General Further Education College,0,0,4,-14,-11,-16,1280,51%,2%,45%,8%,4%,859,57%,-15,-12,-17,4,91,34%,-14,-3,-24,4,330,39%,-10,-4,-15,4,36%,4%,28%,4%,4%
1,938,8602,130847,The College of Richard Collyer In Horsham,Sixth Form College,0,0,4,-6,-3,-8,859,69%,3%,65%,25%,2%,790,72%,-6,-3,-8,4,35,49%,2,18,-14,3,34,32%,-15,1,-31,3,49%,2%,45%,9%,2%
LA,938,,,,,,,NA,-8,NA,NA,4523,62%,2%,58%,17%,2%,3629,67%,-8,NA,NA,NA,173,40%,-7,NA,NA,NA,721,42%,-6,NA,NA,NA,64%,2%,60%,18%,2%
1,800,4003,142125,Somerset Studio School,SS,0,0,3,-1,18,-20,19,63%,0%,63%,11%,0%,14,79%,6,27,-15,3,5,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4004,142127,IKB Academy,SS,0,0,3,-7,8,-22,29,59%,17%,41%,14%,0%,18,78%,1,19,-17,3,11,27%,-19,10,-48,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4006,146972,Beechen Cliff School,ACC,0,0,3,5,11,-1,173,83%,2%,78%,50%,2%,153,84%,2,8,-4,3,20,70%,25,46,3,2,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4107,136966,Hayesfield Girls School,ACC,0,0,3,7,13,0,163,85%,0%,85%,43%,0%,163,85%,7,13,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,30%,0%
1,800,4128,136335,Norton Hill Academy,ACC,0,0,3,3,10,-4,131,76%,4%,71%,16%,2%,131,76%,3,9,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,80%,SUPP,70%,10%,SUPP
1,800,4130,145482,Chew Valley School,ACC,0,0,3,6,15,-3,80,81%,5%,76%,29%,0%,80,81%,6,14,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4132,138522,Ralph Allen School,ACC,0,0,3,-1,7,-9,90,86%,1%,84%,57%,0%,90,86%,-1,7,-9,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4133,136311,Somervale Secondary School,ACC,0,0,3,1,15,-13,32,78%,0%,78%,22%,0%,32,78%,1,14,-12,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4134,137548,Writhlington School,ACC,0,0,3,-7,1,-15,86,69%,0%,67%,24%,1%,86,69%,-7,1,-15,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,58%,0%,SUPP,SUPP,SUPP
1,800,4138,137523,Wellsway School,ACC,0,0,3,1,10,-8,77,84%,8%,75%,30%,1%,77,84%,1,9,-7,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4608,109329,Saint Gregory's Catholic College,VA,0,0,3,2,12,-8,58,83%,2%,81%,33%,0%,58,83%,2,12,-8,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,5401,136483,Oldfield School,ACC,0,0,3,-3,5,-11,90,76%,2%,72%,19%,1%,90,76%,-3,5,-11,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,8009,130558,Bath College,General Further Education College,0,0,4,-10,-5,-14,305,44%,2%,40%,8%,2%,76,47%,-19,-9,-28,4,44,32%,-20,-5,-34,4,185,45%,-4,3,-11,3,37%,0%,37%,0%,0%
LA,800,,,,,,,NA,-1,NA,NA,1334,71%,3%,68%,28%,1%,1069,78%,0,NA,NA,NA,80,40%,-8,NA,NA,NA,185,45%,-4,NA,NA,NA,72%,3%,68%,29%,1%
1,801,4001,136822,Bristol Free School,F,0,0,3,-3,6,-12,77,75%,3%,73%,44%,0%,77,75%,-3,5,-11,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,75%,0%,75%,25%,0%
1,801,4011,145398,Ashton Park School,AC,0,0,3,-11,0,-22,50,46%,4%,32%,4%,10%,47,45%,-14,-2,-25,4,3,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,45%,0%,36%,SUPP,9%
1,801,4100,137440,Cotham School,ACC,1,0,3,7,14,0,139,79%,1%,78%,29%,0%,139,79%,7,13,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,65%,SUPP,SUPP,SUPP,0%
1,801,4602,137627,St Bede's Catholic College,ACC,0,0,2,16,24,7,90,97%,1%,96%,52%,0%,90,97%,16,24,7,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,SUPP,SUPP,SUPP,0%
1,801,4603,109327,St Mary Redcliffe and Temple School,VA,0,0,4,-7,-2,-11,295,76%,1%,75%,39%,0%,295,76%,-7,-2,-11,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,79%,0%,79%,25%,0%
1,801,4627,138855,Redland Green School,ACC,1,0,3,3,8,-2,223,82%,SP,82%,46%,0%,223,82%,3,8,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,SUPP,SUPP,SUPP,0%
3,801,4900,135589,North Bristol Post 16 Centre,,NA,0,3,4,8,0,362,81%,1%,80%,40%,0%,362,81%,4,8,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,66%,0%,66%,16%,0%
1,801,6908,135575,Bristol Cathedral Choir School,AC,0,0,3,3,9,-3,191,87%,3%,84%,48%,1%,191,87%,3,8,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,SUPP,78%,26%,SUPP
1,801,6909,135581,Montpelier High School,AC,0,1,3,8,17,-1,82,83%,0%,82%,34%,1%,82,83%,8,16,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,85%,0%,SUPP,SUPP,SUPP
1,801,6910,135597,Merchants' Academy,AC,0,1,5,-26,-13,-38,45,29%,0%,29%,2%,0%,33,30%,-30,-16,-43,5,12,25%,-16,11,-43,3,0,0%,NA,NA,NA,NA,33%,0%,33%,SUPP,0%
1,801,8008,131094,City of Bristol College,General Further Education College,0,0,4,-9,-4,-13,302,48%,2%,39%,4%,7%,152,51%,-13,-6,-19,4,37,46%,-4,11,-19,3,113,44%,-4,5,-13,3,49%,0%,41%,1%,8%
1,801,8600,130563,St Brendan's Sixth Form College,Sixth Form College,0,0,4,-12,-8,-15,730,61%,2%,58%,10%,1%,729,61%,-11,-8,-13,4,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,2%,58%,6%,SUPP
LA,801,,,,,,,NA,-5,NA,NA,2224,69%,1%,65%,25%,2%,2058,71%,-5,NA,NA,NA,53,42%,-5,NA,NA,NA,113,44%,-4,NA,NA,NA,70%,2%,67%,27%,2%
1,802,4129,136722,Backwell School,ACC,0,0,3,0,6,-6,159,77%,4%,72%,32%,1%,159,77%,0,6,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,0%,67%,33%,0%
1,802,4135,136856,Gordano School,ACC,0,0,3,-4,2,-10,170,75%,4%,70%,31%,1%,161,75%,-5,1,-11,3,9,67%,19,51,-13,3,0,0%,NA,NA,NA,NA,60%,0%,SUPP,SUPP,SUPP
1,802,4136,137884,Clevedon School,ACC,0,0,4,-12,-3,-20,90,64%,6%,57%,26%,2%,90,64%,-12,-3,-20,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,17%,0%,17%,0%,0%
1,802,4137,138466,Nailsea School,ACC,0,0,3,3,12,-6,74,73%,8%,65%,14%,0%,69,72%,1,10,-8,3,0,0%,NA,NA,NA,NA,5,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP
1,802,4139,137000,Churchill Academy & Sixth Form,ACC,0,0,3,-3,4,-10,120,75%,3%,71%,32%,1%,120,75%,-3,4,-10,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,89%,0%,SUPP,SUPP,SUPP
1,802,4144,142853,St Katherine's School,ACC,0,0,3,-2,8,-12,59,75%,0%,75%,32%,0%,59,75%,-2,8,-12,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,0%,83%,42%,0%
1,802,8014,130564,Weston College,General Further Education College,0,0,4,-9,-5,-12,493,54%,1%,50%,12%,2%,296,59%,-13,-8,-17,4,35,46%,-3,13,-19,3,162,46%,-2,5,-9,3,55%,0%,50%,11%,5%
LA,802,,,,,,,NA,-5,NA,NA,1165,65%,3%,61%,22%,1%,954,69%,-6,NA,NA,NA,44,50%,2,NA,NA,NA,167,47%,-1,NA,NA,NA,66%,3%,62%,22%,1%
1,803,4000,139067,Abbeywood Community School,AC,0,0,4,-12,-1,-22,66,65%,0%,65%,23%,0%,66,65%,-12,-2,-21,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,25%,0%,25%,0%,0%
1,803,4005,141665,Sir Bernard Lovell Academy,AC,0,0,5,-26,-15,-36,63,48%,2%,44%,19%,2%,63,48%,-26,-16,-35,5,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,44%,SUPP,SUPP,SUPP,SUPP
1,803,4007,142079,Digitech Studio School,SS,0,0,2,16,22,9,165,64%,1%,63%,4%,0%,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,164,64%,17,24,9,2,SUPP,SUPP,SUPP,SUPP,0%
1,803,4008,145124,Patchway Community School,ACC,0,0,3,-10,5,-25,30,57%,3%,43%,13%,10%,30,57%,-10,4,-24,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,803,4009,145135,Yate Academy,ACC,0,0,3,-8,7,-23,28,68%,0%,68%,25%,0%,28,68%,-8,6,-22,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,803,4010,145502,Winterbourne Academy,AC,0,0,3,-3,3,-9,147,71%,10%,61%,23%,1%,147,71%,-3,3,-9,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,803,4104,137753,Bradley Stoke Community School,ACC,0,0,3,-7,1,-15,105,72%,4%,69%,33%,0%,105,72%,-7,0,-14,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,803,4120,139348,The Castle School,ACC,0,0,3,-1,6,-8,117,77%,0%,76%,29%,1%,117,77%,-1,6,-8,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,27%,0%,SUPP,SUPP,SUPP
1,803,4146,109319,Brimsham Green School,CY,0,0,3,-10,1,-21,54,67%,2%,65%,19%,0%,54,67%,-10,0,-20,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,SUPP,SUPP,SUPP,0%
1,803,4148,139345,Downend School,ACC,0,0,3,-9,0,-18,79,63%,8%,56%,19%,0%,79,63%,-9,0,-17,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,50%,0%,50%,17%,0%
1,803,4502,148295,Chipping Sodbury School,ACC,0,0,3,-2,12,-16,32,78%,6%,72%,44%,0%,32,78%,-2,11,-15,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,0%,0%,0%,0%,0%
1,803,6906,135295,John Cabot Academy,AC,0,0,3,-7,0,-13,152,57%,1%,55%,10%,1%,142,59%,-6,0,-12,3,1,SUPP,SUPP,SUPP,SUPP,3,9,22%,-16,16,-48,3,55%,SUPP,53%,2%,SUPP
1,803,8000,139238,South Gloucestershire and Stroud College,General Further Education College,0,0,4,-10,-6,-13,537,43%,1%,35%,3%,6%,157,49%,-19,-12,-25,4,70,31%,-15,-3,-26,4,310,42%,-5,0,-10,3,41%,1%,33%,1%,6%
LA,803,,,,,,,NA,-6,NA,NA,1619,58%,3%,53%,14%,3%,1039,64%,-9,NA,NA,NA,97,35%,-11,NA,NA,NA,483,49%,2,NA,NA,NA,59%,3%,54%,16%,3%
1,879,4004,144760,Scott Medical and Healthcare College,SS,0,0,3,2,14,-10,44,68%,0%,64%,7%,5%,44,68%,2,13,-9,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,879,4005,146560,UTC Plymouth,UTC,0,0,3,-19,10,-48,8,25%,0%,25%,0%,0%,1,SUPP,SUPP,SUPP,SUPP,3,7,29%,-15,21,-51,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,879,4007,147967,Marine Academy Plymouth,AC,0,0,3,19,41,-3,14,79%,0%,79%,7%,0%,11,73%,10,33,-13,3,3,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,879,4152,136588,Devonport High School for Girls,ACC,0,0,3,5,13,-3,92,92%,3%,89%,58%,0%,92,92%,5,13,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,70%,0%,70%,40%,0%
1,879,4155,148369,Plymouth High School for Girls,ACC,0,0,3,5,13,-3,103,87%,2%,84%,31%,1%,102,88%,6,13,-1,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,70%,10%,SUPP
1,879,4172,113533,Sir John Hunt Community Sports College,FD,0,0,3,-5,11,-21,24,50%,0%,50%,0%,0%,19,47%,-10,8,-28,3,4,SUPP,SUPP,SUPP,SUPP,3,1,SUPP,SUPP,SUPP,SUPP,3,67%,0%,67%,0%,0%
1,879,4178,136556,Plympton Academy,ACC,0,0,3,1,15,-13,35,71%,0%,71%,11%,0%,35,71%,1,14,-12,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,879,4179,136557,Hele's School,ACC,0,0,4,-15,-6,-23,103,64%,5%,57%,18%,2%,103,64%,-15,-7,-22,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,38%,0%,38%,0%,0%
1,879,4180,136568,Plymstock School,ACC,0,0,5,-22,-13,-30,91,58%,3%,54%,18%,1%,91,58%,-22,-13,-30,5,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,78%,0%,SUPP,SUPP,SUPP
1,879,4181,136558,Coombe Dean School,ACC,0,0,3,3,13,-7,64,75%,11%,63%,20%,2%,62,77%,4,14,-6,3,1,SUPP,SUPP,SUPP,SUPP,3,1,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,50%,25%,SUPP
1,879,4185,140104,Eggbuckland Community College,ACC,0,0,2,16,29,2,36,86%,0%,86%,6%,0%,36,86%,16,29,2,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
