RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_HTECH
1,344,4060,138355,Hilbre High School,ACC,0,0,3,-2,7,-11,72,63%,1%,61%,11%,0%,56,68%,-1,9,-11,3,15,47%,-2,22,-26,3,1,SUPP,SUPP,SUPP,SUPP,3,33%,SUPP,SUPP,SUPP,0%
1,344,4066,105103,The Mosslands School,CY,0,0,5,-22,-10,-33,49,33%,0%,33%,10%,0%,33,42%,-19,-5,-32,4,7,14%,-26,10,-62,3,9,11%,-27,5,-59,3,29%,0%,29%,14%,0%
1,344,4067,136895,The Oldershaw School,ACC,0,0,3,1,18,-16,22,64%,0%,64%,0%,0%,21,67%,3,20,-14,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,0%,SUPP,SUPP,0%
1,344,4069,137815,Weatherhead High School,ACC,0,0,3,-3,3,-9,150,71%,0%,71%,22%,0%,144,73%,-2,4,-8,3,6,17%,-28,11,-67,3,0,0%,NA,NA,NA,NA,60%,0%,60%,8%,0%
1,344,4071,105107,South Wirral High School,FD,0,0,5,-25,-9,-40,30,40%,3%,37%,10%,0%,30,40%,-25,-10,-39,5,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,344,4605,139031,St John Plessington Catholic College,ACC,0,0,3,-2,5,-9,126,69%,2%,67%,12%,0%,126,69%,-2,5,-9,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,61%,0%,61%,4%,0%
1,344,5400,139144,Calday Grange Grammar School,ACC,0,0,3,0,6,-6,174,86%,4%,81%,48%,1%,174,86%,0,5,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,344,5401,137476,Wirral Grammar School for Boys,ACC,0,0,3,6,13,-1,130,89%,4%,85%,45%,1%,130,89%,6,12,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,SUPP,SUPP,SUPP
1,344,5900,136780,St Anselm's College,ACC,0,0,3,6,14,-2,103,86%,2%,83%,40%,1%,103,86%,6,13,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,78%,0%,SUPP,SUPP,SUPP
1,344,5901,137929,Upton Hall School FCJ,ACC,0,0,3,3,11,-5,102,86%,1%,84%,46%,1%,102,86%,3,10,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,78%,SUPP,SUPP,SUPP,SUPP
1,344,6905,135877,Birkenhead High School Academy,AC,0,0,3,4,13,-5,71,76%,1%,73%,27%,1%,71,76%,4,13,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,69%,SUPP,SUPP,SUPP,SUPP
1,344,8000,130493,Wirral Metropolitan College,General Further Education College,0,0,4,-14,-8,-19,196,33%,2%,30%,1%,2%,29,41%,-18,-3,-32,4,33,52%,7,23,-9,3,134,27%,-18,-9,-26,4,30%,0%,29%,SUPP,1%
